Validator,PT_VERSION,2.10.0
Validator,HIP_VERSION,701
Validator,HIPBLASLT_VERSION,100100-de5c1aebb6
Validator,GCN_ARCH_NAME,gfx1100
Validator,ROCBLAS_VERSION,5.1.0.de5c1aebb6
GemmAndBiasTunableOp_tf32_TN,tn_32_1024000_32_ld_32_32_32,Default,1.70794
GemmStridedBatchedTunableOp_tf32_NN,nn_32_32_1_B_1024000_ld_32_1_32,Default,33.5719
GemmStridedBatchedTunableOp_tf32_TT,tt_32_1_32_B_2048_ld_32_1_1,Default,0.0397629
GemmAndBiasTunableOp_tf32_TN,tn_32_2048_32_ld_32_32_32,Default,0.0101492
GemmStridedBatchedTunableOp_tf32_NN,nn_32_32_1_B_2048_ld_32_1_32,Default,0.0762388
GemmStridedBatchedTunableOp_tf32_TT,tt_32_1_32_B_1024000_ld_32_1_1,Default,19.6973
GemmAndBiasTunableOp_tf32_TN,tn_5_2048_32_ld_32_32_5,Default,0.00792753
GemmTunableOp_tf32_NN,nn_32_2048_5_ld_32_5_32,Default,0.00774522
GemmTunableOp_tf32_NT,nt_32_5_2048_ld_32_5_32,Default,0.060017
GemmStridedBatchedTunableOp_tf32_NT,nt_32_1_32_B_2048_ld_32_1_1,Default,0.0287428
GemmStridedBatchedTunableOp_tf32_TN,tn_32_32_1_B_2048_ld_1_1_32,Default,0.0772708
GemmStridedBatchedTunableOp_tf32_NT,nt_32_1_32_B_1024000_ld_32_1_32,Default,24.2664
GemmStridedBatchedTunableOp_tf32_TN,tn_32_1_32_B_1024000_ld_32_32_1,Default,19.8454
GemmTunableOp_tf32_NN,nn_32_1024000_32_ld_32_32_32,Default,1.52492
GemmTunableOp_tf32_NT,nt_32_32_1024000_ld_32_32_32,Default,30.9249
GemmStridedBatchedTunableOp_tf32_NT,nt_32_1_32_B_1024000_ld_32_1_1,Default,24.1895
GemmStridedBatchedTunableOp_tf32_TN,tn_32_32_1_B_1024000_ld_1_1_32,Default,34.2856
GemmStridedBatchedTunableOp_tf32_NT,nt_32_1_32_B_2048_ld_32_1_32,Default,0.0288526
GemmStridedBatchedTunableOp_tf32_TN,tn_32_1_32_B_2048_ld_32_32_1,Default,0.0374635
GemmTunableOp_tf32_NN,nn_32_2048_32_ld_32_32_32,Default,0.00947416
GemmTunableOp_tf32_NT,nt_32_32_2048_ld_32_32_32,Default,0.0595937
